,favorite_count,tweet_id,retweet_count
0,24837,891815181378084864,4136
1,38490,892420643555336193,8478
2,40021,891327558926688256,9333
3,41859,891689557279858688,8596
4,11751,890971913173991426,2057
5,64991,890729181411237888,18803
6,27593,890609185150312448,4245
7,30450,890006608113172480,7298
8,0,886054160059072513,104
9,21744,883838122936631299,3429
10,13344,841439858740625411,3976
11,68605,887473957103951883,18113
12,0,828801551087042563,3735
13,16995,861005113778896900,3926
14,16598,786233965241827333,5327
15,0,777953400541634568,3901
16,24229,676821958043033607,16789
17,856,670792680469889025,288
18,663,670046952931721218,184
19,2282,705102439679201280,555
20,908,668643542311546881,554
21,0,667550882905632768,33
22,742,674042553264685056,135
23,1107,673708611235921920,305
24,7277,671789708968640512,3649
25,6573,801285448605831168,928
26,8753,801115127852503040,2331
27,0,798682547630837760,5284
28,5862,749317047558017024,2424
29,6160,784431430411685888,1428
30,7399,771014301343748096,1828
31,7778,765719909049503744,2376
32,5176,747816857231626240,1270
33,0,746521445350707200,1070
34,8619,736225175608430592,2999
35,2553,697943111201378304,751
36,613,670840546554966016,205
37,12747,779123168116150273,4047
38,0,769335591808995329,8480
39,7285,766313316352462849,2076
40,0,838201503651401729,11001
41,20408,836753516572119041,5027
42,18892,835574547218894849,3956
43,2583,732732193018155009,581
44,6179,747963614829678593,2348
45,17955,707610948723478529,6948
46,1230,675531475945709568,411
47,937,671855973984772097,475
48,2528,696713835009417216,704
49,0,796563435802726400,8168
50,4247,735648611367784448,1186
51,15816,833479644947025920,2259
52,21908,834209720923721728,5244
53,7649,831650051525054464,2140
54,0,820494788566847489,627
55,12715,817536400337801217,3367
56,0,805958939288408065,6007
57,8485,790337589677002753,2085
58,9113,781251288990355457,2337
59,4032,772117678702071809,808
60,7972,783821107061198850,2196
61,10865,767122157629476866,3142
62,2804,749403093750648834,600
63,4569,715680795826982913,1749
64,14562,834574053763584002,2776
65,16741,834167344700198914,3966
66,36985,829374341691346946,10244
67,23126,826958653328592898,5516
68,5385,815990720817401858,1163
69,3146,708845821941387268,971
70,10329,821107785811234820,2360
71,12214,808501579447930884,2897
72,9870,785533386513321988,2239
73,1862,686394059078897668,741
74,9083,813142292504645637,2629
75,0,761371037149827077,19727
76,2359,686377065986265092,608
77,2019,673956914389192708,1021
78,476,666063827256086533,217
79,2490,675888385639251968,1028
80,3273,682303737705140231,1082
81,3135,679132435750195208,1254
82,309,669970042633789440,63
83,15301,674291837063053312,6253
84,7749,673295268553605120,3329
85,3494,689283819090870273,1201
86,3387,681297372102656000,1042
87,759,671743150407421952,239
88,21465,669000397445533696,6645
89,626,668614819948453888,326
90,19483,866686824827068416,3556
91,5460,749981277374128128,2682
92,7089,778027034220126208,1804
93,335,668507509523615744,112
94,12133,762471784394268675,7172
95,1177,671109016219725825,459
96,91796,859196978902773760,31336
97,21962,858471635011153920,5027
98,35022,857746408056729600,11048
99,16717,854010172552949760,3319
100,13311,734787690684657664,6813
101,4401,712668654853337088,1312
102,15460,852672615818899456,2278
103,8679,741743634094141440,3001
104,3723,684914660081053696,1589
105,6982,682032003584274432,2192
106,1729,678764513869611008,518
107,27578,889880896479866881,4947
108,4717,742528092657332225,2165
109,13850,716447146686459905,6346
110,7250,684959798585110529,3415
111,2797,683481228088049664,1077
112,1617,682750546109968385,476
113,4193,681302363064414209,1993
114,2026,678023323247357953,419
115,2364,676897532954456065,782
116,931,674269164442398721,239
117,38409,679828447187857408,15229
118,253,668291999406125056,33
119,1483,674422304705744896,563
120,377,669359674819481600,129
121,3205,677716515794329600,1046
122,1297,696490539101908992,161
123,0,833732339549220864,238
124,29124,839549326359670784,8445
125,20767,838952994649550848,4319
126,20291,836001077879255040,4689
127,17907,832757312314028032,3969
128,0,835685285446955009,8919
129,21991,833722901757046785,3502
130,4212,729823566028484608,1337
131,56581,829011960981237760,17833
132,11076,828011680017821696,2361
133,8168,828408677031882754,1408
134,13505,828381636999917570,2441
135,71,832088576586297345,2
136,1229,689275259254616065,268
137,2625,686007916130873345,454
138,5202,728409960103686147,2176
139,3116,676916996760600576,1928
140,11563,838561493054533637,1439
141,3868,743895849529389061,1041
142,0,818307523543449600,9023
143,4086,684222868335505415,1507
144,332,667119796878725120,129
145,1828,688064179421470721,389
146,307,690607260360429569,18
147,2248,677573743309385728,782
148,975,671518598289059840,303
149,198,666337882303524864,91
150,125,666033412701032449,44
151,3459,690374419777196032,935
152,546,668655139528511488,227
153,17009,850145622816686080,4083
154,0,818588835076603904,6824
155,9403,817171292965273600,2234
156,0,809808892968534016,5468
157,9144,783466772167098368,2510
158,9834,802239329049477120,2908
159,54072,795464331001561088,26608
160,9336,789314372632018944,2563
161,26958,889638837579907072,4522
162,6584,743222593470234624,2069
163,26200,829141528400556032,8152
164,2720,689255633275777024,1171
165,4412,686730991906516992,1304
166,17321,862722525377298433,3635
167,11899,852189679701164033,1676
168,21036,886366144734445568,3187
169,10198,868552278524837888,2136
170,14083,750429297815552001,4721
171,13774,793120401413079041,4362
172,2913,772114945936949249,521
173,23311,876537666061221889,4617
174,21709,797236660651966464,7404
175,0,803321560782307329,5945
176,2838,692919143163629568,805
177,2249,688179443353796608,638
178,787,671485057807351808,241
179,168,666396247373291520,84
180,2721,678800283649069056,978
181,1488,676811746707918848,455
182,4093,675349384339542016,2409
183,984,675147105808306176,255
184,2338,674999807681908736,1174
185,842,674788554665512960,220
186,816,674764817387900928,253
187,3676,673715861853720576,2202
188,1864,672980819271634944,1046
189,1159,671866342182637568,524
190,566,668204964695683073,200
191,801,670823764196741120,199
192,682,670789397210615808,250
193,3161,676098748976615425,1544
194,1555,674632714662858753,611
195,1539,673355879178194945,615
196,462,670833812859932673,128
197,928,668645506898350081,566
198,541,667502640335572993,224
199,775,666362758909284353,568
200,133,666050758794694657,58
201,3265,670815497391357952,1614
202,6619,717047459982213120,2053
203,1343,668975677807423489,612
204,690,670055038660800512,344
205,3050,717790033953034240,1217
206,1623,674271431610523648,767
207,3041,693231807727280129,796
208,3060,692828166163931137,957
209,7920,827600520311402496,1042
210,10581,737800304142471168,3757
211,47267,733109485275860992,17429
212,4328,728015554473250816,1187
213,1780,838150277551247360,357
214,13564,837471256429613056,2511
215,3804,733828123016450049,839
216,22575,836260088725786625,4675
217,17419,835297930240217089,3264
218,2518,679405845277462528,1307
219,2454,678991772295516161,1275
220,14495,678021115718029313,6877
221,3517,677673981332312066,1612
222,2179,676942428000112642,818
223,1802,676440007570247681,715
224,2383,676191832485810177,1098
225,1406,674754018082705410,479
226,48590,667152164079423490,17571
227,238,666739327293083650,66
228,36832,740373189193256964,14459
229,3727,678767140346941444,1480
230,2909,675109292475830276,1205
231,1427,670428280563085312,667
232,11039,670668383499735048,5268
233,2157,685681090388975616,138
234,3198,684567543613382656,1343
235,1544,680221482581123072,313
236,2621,720775346191278080,737
237,4369,714957620017307648,1534
238,3175,705239209544720384,815
239,3035,720340705894408192,1051
240,2956,715704790270025728,606
241,3330,717421804990701568,911
242,3005,711743778164514816,1069
243,2193,700029284593901568,630
244,3593,698989035503689728,1066
245,1366,698635131305795584,369
246,2914,676975532580409345,1149
247,3686,678798276842360832,1287
248,3318,735137028879360001,1049
249,3349,728986383096946689,885
250,4556,728046963732717569,1267
251,2493,716439118184652801,232
252,2697,708479650088034305,732
253,1357,677565715327688705,488
254,1783,676946864479084545,406
255,1280,676237365392908289,314
256,1613,675003128568291329,501
257,738,673656262056419329,254
258,1101,675047298674663426,346
259,7694,745057283344719872,2482
260,2436,707014260413456384,646
261,3203,689877686181715968,1287
262,963,676590572941893632,136
263,197,667393430834667520,58
264,12658,832682457690300417,3210
265,2682,738156290900254721,713
266,3897,732585889486888962,835
267,320,667453023279554560,92
268,6913,667509364010450944,2198
269,1924,675483430902214656,1035
270,130,666029285002620928,47
271,387,671159727754231808,85
272,2973,683828599284170753,1147
273,3244,750101899009982464,919
274,5949,744709971296780288,1692
275,2349,688789766343622656,725
276,3641,682429480204398592,1262
277,520,668286279830867968,142
278,13546,680085611152338944,9672
279,5344,770787852854652928,1355
280,5806,761976711479193600,2224
281,0,766864461642756096,6249
282,12103,761004547850530816,3808
283,5111,749064354620928000,1650
284,11296,781661882474196992,3007
285,23755,773547596996571136,6824
286,20393,840268004936019968,6212
287,0,839290600511926273,154
288,18684,838083903487373313,3427
289,8252,835264098648616962,1858
290,29477,831911600680497154,7154
291,12488,831309418084069378,2677
292,27316,828770345708580865,6473
293,0,791784077045166082,10785
294,5962,780800785462489090,1445
295,7258,692752401762250755,3932
296,3491,690932576555528194,1108
297,1542,681261549936340994,297
298,0,836648853927522308,603
299,0,780092040432480260,2558
300,3182,673716320723169284,800
301,6645,672272411274932228,3551
302,0,832215726631055365,10288
303,2631,718540630683709445,1092
304,2491,685667379192414208,625
305,1138,674038233588723717,432
306,1142,676613908052996102,208
307,1164,670811965569282048,281
308,321,666073100786774016,163
309,5033,709042156699303936,1781
310,3284,706516534877929472,1117
311,3215,727286334147182592,879
312,5607,724405726123311104,1780
313,2758,703631701117943808,750
314,12971,701214700881756160,5545
315,2973,698178924120031232,800
316,2938,694905863685980160,1013
317,3804,690959652130045952,1361
318,2153,689143371370250240,559
319,2458,688519176466644993,792
320,1872,687732144991551489,713
321,4042,683857920510050305,1209
322,2621,681891461017812993,896
323,2796,680609293079592961,775
324,5039,679530280114372609,2242
325,2231,675891555769696257,935
326,871,674036086168010753,227
327,854,673580926094458881,278
328,767,671134062904504320,200
329,665,669353438988365824,267
330,1290,672828477930868736,510
331,1123,671542985629241344,594
332,1802,672139350159835138,750
333,3572,693280720173801472,1352
334,1034,669203728096960512,499
335,3421,751456908746354688,1091
336,3457,685663452032069632,1592
337,4453,733460102733135873,1387
338,3816,677328882937298944,1613
339,1418,673680198160809984,490
340,0,798673117451325440,6214
341,3720,677228873407442944,1757
342,7777,780858289093574656,2215
343,21639,778990705243029504,8093
344,1818,676215927814406144,629
345,2108,683078886620553216,611
346,26095,782969140009107456,8191
347,786,670061506722140161,360
348,3544,738883359779196928,882
349,1902,674767892831932416,850
350,1052,671533943490011136,602
351,19456,862831371563274240,5231
352,18034,782305867769217024,6195
353,3949,715758151270801409,1537
354,1602,694356675654983680,312
355,4402,725786712245440512,1465
356,6239,727644517743104000,1893
357,4095,727175381690781696,1481
358,8385,736010884653420544,3228
359,3820,735991953473572864,1247
360,3549,735256018284875776,959
361,3330,733482008106668032,1027
362,15797,732005617171337216,5905
363,9126,745422732645535745,2648
364,162303,744234799360020481,84178
365,121491,739238157791694849,62788
366,46890,846514051647705089,12490
367,22544,843856843873095681,4993
368,20939,847157206088847362,6290
369,17339,844580511645339650,3388
370,2372,688894073864884227,755
371,3551,683773439333797890,1476
372,3365,683498322573824003,1039
373,3031,680798457301471234,1129
374,1154,673636718965334016,388
375,576,670385711116361728,220
376,24194,841077006473256960,5745
377,45759,756288534030475264,19198
378,16996,827324948884643840,3374
379,14203,826240494070030336,2852
380,13645,825829644528148480,2743
381,14624,792394556390137856,4782
382,48930,791774931465953280,24794
383,3003,740699697422163968,843
384,0,753298634498793472,6326
385,8215,748337862848962560,4505
386,2336,686358356425093120,743
387,707,672245253877968896,162
388,2501,724771698126512129,692
389,19014,832032802820481025,5108
390,12693,831262627380748289,2252
391,0,830173239259324417,6271
392,14731,778408200802557953,4833
393,9560,776477788987613185,3117
394,17223,767754930266464257,5945
395,6260,757393109802180609,1918
396,5061,748699167502000129,1752
397,4120,747461612269887489,1131
398,2302,679872969355714560,718
399,8374,744971049620602880,2929
400,16983,837110210464448512,2610
401,1239,674410619106390016,494
402,1347,674262580978937856,484
403,7632,739485634323156992,3192
404,454,668994913074286592,243
405,1184,670807719151067136,509
406,6893,764857477905154048,1951
407,7971,792773781206999040,1877
408,12207,821886076407029760,2592
409,7619,745314880350101504,3016
410,2363,688211956440801280,910
411,3345,682003177596559360,1657
412,27678,874680097055178752,4656
413,0,832769181346996225,40
414,10240,800459316964663297,2404
415,28305,865006731092295680,7866
416,253,668567822092664832,60
417,1832,693109034023534592,667
418,0,799308762079035393,6189
419,7450,778748913645780993,1482
420,12747,791672322847637504,3496
421,13785,735274964362878976,5496
422,3764,681579835668455424,1425
423,3452,682242692827447297,1287
424,9879,688385280030670848,4834
425,2902,668633411083464705,1722
426,1306,667937095915278337,822
427,7235,774639387460112384,1923
428,3220,697596423848730625,1365
429,44642,882268110199369728,11551
430,3106,727685679342333952,688
431,4107,723912936180330496,1318
432,2590,717841801130979328,644
433,3463,713919462244790272,840
434,4085,752334515931054080,1207
435,42473,869772420881756160,10161
436,24320,867900495410671616,4247
437,16985,860184849394610176,6027
438,27190,877316821321428993,5168
439,24122,873580283840344065,3961
440,16241,867421006826221569,2570
441,0,867072653475098625,128
442,0,852936405516943360,2140
443,2576,718613305783398402,521
444,3962,714982300363173890,1112
445,19284,878776093423087618,4127
446,3572,677700003327029250,1555
447,1026,672095186491711488,384
448,12993,840696689258311684,1068
449,2005,686606069955735556,586
450,339,670361874861563904,69
451,1220,669216679721873412,420
452,972,674606911342424069,104
453,474,668480044826800133,153
454,2558,666020888022790149,512
455,10766,773191612633579521,4547
456,3741,743545585370791937,1017
457,4722,705442520700944385,1791
458,0,836397794269200385,30104
459,9788,831322785565769729,1671
460,8467,785639753186217984,2467
461,2641,707741517457260545,660
462,6468,748575535303884801,2178
463,2379,700151421916807169,715
464,2523,691483041324204033,612
465,7989,685906723014619143,3158
466,10890,699691744225525762,4979
467,1619,670782429121134593,815
468,1149,672609152938721280,405
469,4346,722974582966214656,1701
470,4255,686286779679375361,1809
471,46603,855851453814013952,18527
472,3410,681281657291280384,1196
473,1457,674743008475090944,585
474,996,671347597085433856,450
475,1466,672964561327235073,673
476,4663,757596066325864448,1167
477,0,752309394570878976,18259
478,2698,693642232151285760,450
479,1189,674690135443775488,496
480,1553,786051337297522688,171
481,27358,868622495443632128,5819
482,65921,868880397819494401,14744
483,623,667200525029539841,267
484,830,669661792646373376,460
485,35022,685547936038666240,17050
486,14241,791406955684368384,4599
487,636,668297328638447616,309
488,25102,889278841981685760,5381
489,45903,887517139158093824,11616
490,35728,885528943205470208,6398
491,4047,730211855403241472,1142
492,4529,704871453724954624,1206
493,14668,872820683541237760,3709
494,33609,870804317367881728,6269
495,26751,865359393868664832,5117
496,36641,861383897657036800,11023
497,32400,846139713627017216,10606
498,1675,678396796259975168,455
499,6914,683742671509258241,3617
500,3712,707387676719185920,1412
501,3425,712085617388212225,522
502,20185,871515927908634625,3478
503,123337,866450705531457537,36020
504,24138,863432100342583297,5401
505,1711,702899151802126337,486
506,3049,702539513671897089,1043
507,2628,698710712454139905,743
508,2207,696744641916489729,1023
509,3598,694001791655137281,1120
510,1989,693993230313091072,437
511,2771,699036661657767936,1294
512,2089,674781762103414784,1283
513,219,666353288456101888,72
514,851,670727704916926465,380
515,9111,759447681597108224,2697
516,2145,684177701129875456,730
517,1803,706291001778950144,508
518,2949,728751179681943552,734
519,3879,728387165835677696,1036
520,3285,705975130514706432,801
521,4028,703425003149250560,1502
522,4144,706169069255446529,2406
523,3472,709556954897764353,1148
524,2842,708119489313951744,1055
525,3470,707776935007539200,1023
526,21598,888078434458587136,3478
527,47770,889665388333682689,10008
528,27439,880095782870896641,4356
529,0,879130579576475649,6828
530,4583,738184450748633089,1318
531,6555,735635087207878657,2560
532,31777,849776966551130114,8116
533,49111,881536004380872706,15898
534,16730,841314665196081154,5096
535,2731,707629649552134146,950
536,1742,693582294167244802,276
537,2445,710658690886586372,610
538,4524,708149363256774660,1663
539,3069,691756958957883396,1106
540,5809,687841446767013888,2750
541,2902,675334060156301312,1372
542,665,672523490734551040,180
543,11224,778286810187399168,3680
544,288,668955713004314625,74
545,1998,684902183876321280,575
546,0,838916489579200512,37
547,4614,750117059602808832,1422
548,2218,679736210798047232,865
549,1680,674670581682434048,689
550,1462,673240798075449344,764
551,1685,704347321748819968,383
552,1083,675522403582218240,304
553,12150,855857698524602368,2214
554,27296,855818117272018944,5694
555,0,855245323840757760,6271
556,23531,854732716440526848,6421
557,3673,758355060040593408,1193
558,16254,757400162377592832,7498
559,4718,751583847268179968,1225
560,2448,676588346097852417,859
561,1065,670093938074779648,353
562,355,666776908487630848,175
563,53139,761672994376806400,31948
564,5576,751937170840121344,1473
565,12576,828046555563323392,3154
566,0,824796380199809024,6059
567,0,789280767834746880,5526
568,2951,748705597323898880,1034
569,4357,720415127506415616,1610
570,2306,699434518667751424,554
571,4132,696518437233913856,1836
572,3015,695074328191332352,1195
573,1003,675111688094527488,268
574,5463,766793450729734144,1497
575,835,667534815156183040,554
576,5221,826204788643753985,1028
577,9367,793271401113350145,2638
578,3491,697990423684476929,1403
579,1427,693644216740769793,139
580,1562,689993469801164801,500
581,2237,688898160958271489,853
582,2784,683834909291606017,1203
583,1394,682697186228989953,391
584,4411,743980027717509120,1181
585,261,667160273090932737,63
586,18608,860276583193509888,3592
587,7109,773704687002451968,1818
588,3764,675166823650848770,1727
589,1870,680889648562991104,398
590,1522,674255168825880576,593
591,667,668190681446379520,201
592,1409,672902681409806336,529
593,9191,749395845976588288,3787
594,4524,748692773788876800,1451
595,5913,747512671126323200,1728
596,506,668171859951755264,202
597,454,667012601033924608,227
598,29699,788908386943430656,13838
599,0,752701944171524096,3162
600,121987,807106840509214720,60423
601,14091,807010152071229440,4258
602,6372,759943073749200896,2306
603,4767,750506206503038976,1261
604,0,778396591732486144,13585
605,6392,759793422261743616,2094
606,16946,708400866336894977,10935
607,0,763167063695355904,3329
608,250,797165961484890113,31
609,35100,796149749086875649,15981
610,15583,792913359805018113,4490
611,7847,788178268662984705,2369
612,10347,776201521193218049,2795
613,33931,820749716845686786,11001
614,8872,815639385530101762,1836
615,1354,672968025906282496,573
616,0,798705661114773508,7395
617,0,790227638568808452,3990
618,81386,806629075125202948,38964
619,2799,700518061187723268,866
620,8094,683391852557561860,2595
621,9862,796116448414461957,2706
622,21679,793256262322548741,9308
623,4236,756303284449767430,1190
624,3645,701805642395348998,1836
625,2989,701570477911896070,1015
626,2590,683462770029932544,725
627,1484,673700254269775872,599
628,717,670086499208155136,261
629,2627,682788441537560576,1216
630,0,757597904299253760,321
631,7121,756939218950160384,2204
632,2536,693267061318012928,889
633,4953,697270446429966336,2019
634,11037,689659372465688576,4230
635,5912,667549055577362432,2361
636,251,667174963120574464,84
637,7547,745433870967832576,2766
638,2554,709198395643068416,690
639,9149,695409464418041856,3864
640,3789,680100725817409536,1484
641,1554,674394782723014656,607
642,1079,667806454573760512,515
643,11174,829449946868879360,2229
644,0,825120256414846976,1421
645,14243,800513324630806528,3360
646,6522,749417653287129088,1825
647,5161,713761197720473600,1487
648,1790,759446261539934208,536
649,12306,785927819176054784,3528
650,11326,771380798096281600,5644
651,4425,768609597686943744,1337
652,11383,800751577355128832,3102
653,2416,692894228850999298,873
654,1395,671115716440031232,808
655,2816,685321586178670592,701
656,10927,737445876994609152,4840
657,39110,828708714936930305,12351
658,10795,824663926340194305,1919
659,2701,708711088997666817,792
660,4877,757611664640446465,1226
661,3457,717009362452090881,1052
662,22735,755110668769038337,12141
663,8446,751598357617971201,3317
664,2492,696894894812565505,733
665,2306,683098815881154561,713
666,39306,682962037429899265,18192
667,3597,671122204919246848,2646
668,403,669683899023405056,114
669,1891,672231046314901505,1054
670,13608,790277117346975746,3580
671,3681,686749460672679938,1587
672,3342,679503373272485890,1606
673,2582,666983947667116034,1002
674,174,666273097616637952,76
675,0,863471782782697472,2534
676,1384,671744970634719232,803
677,690,669680153564442624,300
678,1094,675362609739206656,243
679,37657,822244816520155136,10900
680,9053,821765923262631936,1846
681,92978,819004803107983360,40635
682,9232,817056546584727552,1832
683,0,816829038950027264,5243
684,10612,815736392542261248,2519
685,8368,813157409116065792,2467
686,7153,812709060537683968,1595
687,7495,809448704142938112,1638
688,10882,803773340896923648,3093
689,11523,817777686764523521,2959
690,0,801127390143516673,4444
691,30763,800018252395122689,14712
692,11273,789903600034189313,4612
693,10532,789137962068021249,3115
694,4842,741793263812808706,1642
695,3614,740711788199743490,1012
696,11153,794926597468000259,2586
697,10968,784826020293709826,3587
698,646,667873844930215936,421
699,28799,839239871831150596,7128
700,4068,837482249356513284,481
701,0,816062466425819140,1163
702,5569,758405701903519748,2110
703,3958,748324050481647620,836
704,9468,777621514455814149,2767
705,7214,742385895052087300,2163
706,6145,729463711119904772,2487
707,2399,712065007010385924,669
708,2091,677269281705472000,757
709,2035,675113801096802304,828
710,1377,676089483918516224,458
711,2984,686683045143953408,872
712,14849,846505985330044928,3329
713,33296,846153765933735936,9757
714,16032,842846295480000512,3878
715,4665,726224900189511680,1253
716,3411,702684942141153280,1168
717,2162,697575480820686848,550
718,2666,697242256848379904,722
719,2695,696488710901260288,1120
720,2060,687664829264453632,556
721,2568,678380236862578688,976
722,3395,696900204696625153,1110
723,18066,679062614270468097,8919
724,2167,678643457146150913,461
725,2606,673345638550134785,1350
726,1352,672834301050937345,595
727,1368,671891728106971137,590
728,2047,671544874165002241,1095
729,947,671497587707535361,468
730,1707,668587383441514497,1131
731,535,667495797102141441,282
732,921,672239279297454080,335
733,747,800859414831898624,107
734,3804,758854675097526272,983
735,6205,753398408988139520,2106
736,4634,695446424020918272,1961
737,0,798644042770751489,2068
738,11112,762464539388485633,4647
739,6993,759047813560868866,2216
740,1933,686003207160610816,690
741,4187,691820333922455552,1791
742,1055,673363615379013632,326
743,4328,766693177336135680,870
744,2374,699088579889332224,680
745,1996,693095443459342336,501
746,3613,692041934689402880,1380
747,2342,686050296934563840,799
748,1493,674646392044941312,532
749,5741,847842811428974592,1443
750,19904,859924526012018688,4236
751,30778,855459453768019968,8633
752,2134,694329668942569472,543
753,510,669371483794317312,187
754,1734,685943807276412928,664
755,4115,684481074559381504,1268
756,36240,837820167694528512,8576
757,13511,836989968035819520,2497
758,867,667902449697558528,387
759,23871,835152434251116546,3301
760,20772,852226086759018497,7223
761,1820,678341075375947776,584
762,4374,675878199931371520,1497
763,10022,813910438903693312,2099
764,3147,691096613310316544,971
765,9016,813800681631023104,1958
766,20184,813217897535406080,8116
767,7136,805826884734976000,2047
768,8219,796484825502875648,1963
769,13508,752932432744185856,7479
770,6374,746872823977771008,2343
771,4069,743210557239623680,1475
772,0,840728873075638272,17571
773,0,789960241177853952,4647
774,29735,788765914992902144,11497
775,730,668960084974809088,248
776,7545,678755239630127104,3588
777,9526,791312159183634433,2838
778,7273,726935089318363137,2651
779,7441,725842289046749185,2860
780,192,840698636975636481,2
781,11827,838921590096166913,2254
782,4039,739623569819336705,1476
783,6431,746726898085036033,1950
784,4727,727524757080539137,1323
785,2044,683852578183077888,380
786,1501,674051556661161984,507
787,297,666044226329800704,141
788,2511,679844490799091713,836
789,757,670832455012716544,229
790,12084,800388270626521089,3131
791,0,800188575492947969,4402
792,1232,671768281401958400,546
